,dialogue_id,dialogue_turn,text,annotation,multi_labels,Elicit-Pref,No-Need,Non-strategic,Other-Need,Promote-coordination,Self-Need,Showing-Empathy,Small-talk,UV-Part,Vouch-Fair
22,216,9,So I get two water for one firewood and one food for one firewood. So do we have a deal then?,Promote-coordination,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0,0
23,216,10,"sounds like a deal, yes",Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
24,216,11,Alright sir. It was a pleasure doing business with you.,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
25,217,0,"Hello, how are you? 🙂",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
26,217,1,"I'm good, how are you doing today?",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
27,217,2,I'm doing great!  I'm on the first camping trip with my five children.,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
28,217,3,"Wow, that's amazing. My parents took me camping when I was young. Now we going hiking every other weekend. What do you plan on doing?",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
29,217,4,"That sounds like so much fun!  I hope we get to hike some.  I have my four month old baby with us which is exciting.  I'm worried I didn't bring enough water for his bottles, though.","Small-talk,Other-Need","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0,0,0,1,0,0,0,1,0,0
30,217,5,"That sucks, you need to be hydrated. What supplies do you require? My family loves to grill, so we do require food.","Showing-Empathy,Elicit-Pref,Other-Need,Self-Need","[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",1,0,0,1,0,1,1,0,0,0
31,217,6,Grilling is so much fun!  We left our grill at home so we can't really do that.  I will trade you some food for some water if you would like?,"Small-talk,Promote-coordination","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,0,0,0,1,0,0,1,0,0
32,217,7,sure that sounds fair,Vouch-Fair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,0,0,0,0,0,0,0,1
33,217,8,"Ok, do you have any interest in any fire wood?",Elicit-Pref,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0
34,217,9,"I do need firewood, we cook over open flames. 😮How you get 2 water, 1 food and 1 firewood?",Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
35,217,10,"How about if I give you 3 food for 3 waters, and then we split the firewood?",Promote-coordination,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0,0
36,217,11,"I do require at least one water, hiking is very physical demanding. Also there are 3 firewoods?",Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
37,217,12,"yes there are 3 firewoods.  Okay I understand about the water.  then how about 2 foods for 2 waters, and we somehow divide the three firewoods? 🙂","Promote-coordination,Showing-Empathy","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0,0,0,0,1,0,1,0,0,0
38,217,13,Could I possibly get 2 firewoods? Assuming Water is your high value item?,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
39,217,14,"Sure, we can do that",Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
40,218,0,Hello I would like to have two bottles of water and in trade will take 1 food and firewood for a higher amount of water.,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
41,218,1,Hello. I would consider giving you 2 waters for 3 firewood and 2 food. I have a large family so the additional firewood will help with warmth and cooking food. 🙂,"Other-Need,Self-Need","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,0,0,1,0,1,0,0,0,0
42,218,2,That sounds like you could  really use the extra warmth for your family,Showing-Empathy,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,0,1,0,0,0
43,218,3,Yes it is very much needed. My family doesn't have a lot of extra bedding so having the warmth of a fire will help make sure we don't get cold at night 🙂,"Other-Need,Self-Need","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,0,0,1,0,1,0,0,0,0
44,218,4,Okay I am willing to take your offer as I think you need the firewood more than me and I could use the extra water for hygiene related issues.,"Showing-Empathy,Self-Need","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0,0,0,0,0,1,1,0,0,0
45,218,5,Thank you! I am grateful! ,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
46,218,6,You are very welcome!,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
47,218,7,I'm looking forward to this camping trip now knowing that we will have enough firewood to last🙂,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
48,218,8,Me too. Now that I have everything I really wanted it will be a blast. Have fun maybe I'll see you out there.,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
49,218,9,Thank you! You too! Stay safe🙂,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
50,15,0,"Hi.  I am looking at possibly taking 3 of the food packages, 2 of the water packages and one of the firewood.  ",Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
51,15,1,Hi. Why do you need so many food packages?,Elicit-Pref,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0
52,15,2,"Well, I have two teenage boys who will be with me.  In normal circumstances they go through a lot of food.  While camping, hiking and kayaking I know we will need plenty to keep their energy level high to do everything.🙂",Other-Need,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,0,1,0,0,0,0,0,0
53,15,3,Well I will definitely need 2 packages of food and 2 of firewood for survival.,Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
54,15,4,I am definitely ok with giving you two of the firewood!!  Why do you need 2 packages of food?,Elicit-Pref,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0
55,15,5,I have a very fast metabolism and a dog to take care of. Thanks for the firewood.,"Self-Need,Other-Need","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,0,0,1,0,1,0,0,0,0
56,15,6,"Awe!  We have a dog as well, I love dogs!!  How about if you get 1 package of food, 1 water and 2 firewood?  Would that be sufficient for you?","Small-talk,Showing-Empathy","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0,0,0,0,0,0,1,1,0,0
57,15,7,I know I will need at least 2 packages of food. But you can have 2 of water.,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
58,15,8,"I'm so sorry, we're getting very close to the end and will need to make a decision very soon!  We can go without any firewood so How about you get all 2 firewood, 2 water and 1 food.  I will really need at least 2 packages of food for all of us.","Self-Need,Other-Need","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,0,0,1,0,1,0,0,0,0
59,15,9,That works for me,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
60,16,0,"Hi, this is my first time camping and I want to make sure I have enough stuff.  I would like three food, three firewood, and two water.  What do you think?",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
61,16,1,"I have been camping a few times and pretty much know what I need to be comfortable and healthy.  Warmth and hydration are important for me.  So, I am thinking 2 firewood, 2 water and 0 food.","Small-talk,Self-Need","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,0,0,1,0,1,0,0
62,16,2,"Since I have never been camping before, why do you think you need 2 firewood?",Elicit-Pref,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0
63,16,3,"Unfortunately, I have arthritis so being sure to keep warm and the dampness away in the evening, heat is important for me.",Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
64,16,4,Ok.  I am worried about animals and bugs so I would prefer 2 firewood.  But I am happy with the 3 food🙂,Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
65,16,5,"Ok, how about we shift a bit as I hear you on the bugs and animals.  I think I can get by with one firewood and use extra covers and meds.  But, will need plenty of water and some food.  How about I take 1 firewood, 2 water and 2 food.","No-Need,Showing-Empathy","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",0,1,0,0,0,0,1,0,0,0
66,16,6,"Ok, although I was thinking that I could probably find some firewood, but would prefer more water so I don't get dehydrated and can use it to wash and cook.  How about I take 1 firewood, 2 water, and 1 food","Self-Need,No-Need","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,0,0,0,1,0,0,0,0
67,16,7,"Good thought on finding your own firewood.  I appreciate the offer of 2 firewood.  I can cut back on water for washing/cooking.  So how about I take 2 firewood, 1 water and 2 food",No-Need,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0,0,0
68,16,8,ok that sounds fine🙂,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
69,16,9,"Great, thanks for understanding and working with me....and enjoy your first time camping🙂",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
70,16,10,no problem🙂,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
71,17,0,"Hello, how are you today?",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
72,17,1,"hello, I am good, I am very excited about this trip. how are you?",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
73,17,2,"i am great, super excited about camping as well, are there any supplies that you really need?","Small-talk,Elicit-Pref","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,0,0,0,0,0,0,1,0,0
74,17,3,i really need water and food. we did not get enough of those.,"Self-Need,Other-Need","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,0,0,1,0,1,0,0,0,0
75,17,4,"Those are my priorities as well, how about you get all the food and two firewoods, and i get all the water and one firewood, does that sound fair?",Vouch-Fair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,0,0,0,0,0,0,0,1
76,17,5,"i would prefer water instead of food if possible, but i am sure we can work it out.",Promote-coordination,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0,0
77,17,6,"water is really important for me, how about i get two waters and three firewoods and you get three foods and one water?",Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
78,17,7,i can work with 1 water 3 food and 1 firewood,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
79,17,8,ok that works for me,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
80,17,9,"good, we used all the water to fix overheated car.",Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
81,18,0,"Hello, what are your preferences for food, water, and firewood?",Elicit-Pref,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0
82,18,1,"Hey, nice getting to interact with you. I would like to have additional packages of firewood and water",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
83,18,2,"Okay, I would like to have additional packages of food and water.",Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
84,18,3,I would take 2 packages of firewood and 1 each of water and food. Let me know your thoughts.,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
85,18,4,I actually need 2 packages of firewood for making more fires when camping.,Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
86,18,5,I can't take cold and would badly need to have more firewood.,Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
87,18,6,I need more firewood to keep my food going.,Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
88,18,7,"I get it, in that case I'' take additional packages of food.",Showing-Empathy,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,0,1,0,0,0
89,18,8,"I don't think so, because I need additional packages of food in case there is an emergency.",Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
90,18,9,I was under the impression you don't have the need for additional firewood as you mentioned you need additional of food and water. Let me know how many packages of item you need.,UV-Part,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,0,1,0
91,18,10,"You're right, I meant to say that I need additional food and water.",Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
92,18,11,"So, let me know how much exactly do you want of each item",Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
93,18,12,I would like 2 packages of food and 2 packages of water.,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
94,18,13,"In that case, I can take 2 packages of firewood. So , it would be a fair deal. I can share with you in case you have the need.","Vouch-Fair,UV-Part","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,0,0,0,0,0,0,0,1,1
95,18,14,"Okay, that is a fair deal then. It is settled.",Vouch-Fair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,0,0,0,0,0,0,0,1
96,18,15,Thank you. Have a nice day ahead!,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
97,18,16,Thank you. Have a nice day ahead too!,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
98,19,0,Hello there,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
99,19,1,Hello. How are you?,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
100,19,2,Great and yourself? Ready for this camping trip and take a break from modern civilization?,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
101,19,3,I'm doing well. Yes. This camping trip is badly needed!,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
102,19,4,Indeed we have planned to do a lot of hiking and seeing the nature that is giving to us by god it will be a great wonderful time to serve with others and deepen our faith in the lord savior ,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
103,19,5,Awesome. I couldn't agree more. I feel that camping and hiking are both such spiritual experiences. It's such a perfect time to connect with our lord and savior. I love serving others as well.🙂,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
104,19,6,":) Yes and you know what we are experiencing some difficulty as some people who said initially they were not going to be able to come and at the last minute are saying that they are coming so we are short on the most important items which are food and was wondering if we could speak about sharing items but due to the people who joined late if I can get food and water you can have more wood as none of us know how to really go into the wild and we do not want to turn away our last minute guests, it would be of tremendous help   ",Other-Need,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,0,1,0,0,0,0,0,0
105,19,7,I'm more than willing to help you to the best of my ability. I understand and appreciate the difficult situation you find yourself in. How many packages of food and water do you think you will need for your additional guests? How much wood do you need since you are saying you don't need much?,"Showing-Empathy,Promote-coordination","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0,0,0,0,1,0,1,0,0,0
106,19,8,"Thanks for your understanding well I think if possible then to meet the situation then how bout 3 food and 2 water then you get all the wood ? That way you can have awesome campfires lasting through the night, we will be going to sleep extra early to wake up very early so we do not need all that wood, as much as we need food to replenish our energy and be ready for another day of long walks to see as much as we can from nature 🙂","Small-talk,Self-Need","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,0,0,1,0,1,0,0
107,19,9,I agree with you that campfires are awesome and I do find them to be be quite useful. I'm not as early of a riser as you are unfortunately! 🙂 I'm willing to accept your offer on food as long as you could please consider my needs for water. I am a very active hiker. While I don't need much food for my hikes I do require a lot of water. I once went on a hiking trip when I was new to the activity and ran out of water. I got lost and almost dehydrated! Ever since then it's been very important to me to have as much water as possible. What would it take in order for me to get as much water as possible keeping in mind that I'm willing to give you 3 food. ,"Small-talk,Self-Need,Promote-coordination,No-Need","[0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",0,1,0,0,1,1,0,1,0,0
108,19,10,Thank you for the food and I understand we do have to think about water being by far the most important thing in life since it bascially is right 🙂 and well how about then we go do two waters for you and one wood then so then we can have that wood for just in case and we can all be happy ?? thanks for your understanding,"Small-talk,Showing-Empathy","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0,0,0,0,0,0,1,1,0,0
109,19,11,"Yes. Water is the most important thing in life. Thank you for offering me two waters and one wood. However, this would mean that you would be receiving 3 food, 1 water, and 2 wood. That seems too unbalanced to me. It's important for me to also let you know that wood is very crucial for me. When I was a newbie I didn't bring any wood because I figured I'm fine since I'm not scared of the dark. That night a bear snuck on me when I was sleeping. Thankfully I was able to scare it away with noise. However, ever since then I've brought a lot of wood with me so no bears can sneak up on me. I would like to counter your offer with 3 waters, 2 wood, and 0 food. This means you get 1 wood and 3 food. Does this offer work for you?","Small-talk,Self-Need,,Vouch-Fair","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,0,0,0,0,1,0,1,0,1
110,20,0,hi there🙂,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
111,20,1,"Hello, I hope we can reach a good deal. I am in desperate need of firewoood and water",Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
112,20,2,I also need water.  You would not believe how much my family and I sweat!,"Self-Need,Other-Need","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,0,0,1,0,1,0,0,0,0
113,20,3,I understand. I am unfortunately sick and need the warmth of the fire and water to take my medication or I will die very soon,"Showing-Empathy,Self-Need","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0,0,0,0,0,1,1,0,0,0
114,20,4,"You can have all of the firewood, we just need 1 water ",Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
115,20,5,That is fair. Could I also have 1 food so I do not starve,"Vouch-Fair,Self-Need","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,0,0,0,0,1,0,0,0,1
116,20,6,what about your basic food rations?,UV-Part,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,0,1,0
117,20,7,I am severely malnourished and could use just one more food please,Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
118,20,8,"we got kids on this trip, they need food too.  also, your basic supplies should keep you fed well enough to not starve/be malnourished","Other-Need,UV-Part","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",0,0,0,1,0,0,0,0,1,0
119,20,9,I have kids as well who need food. I am just asking for one more food,Other-Need,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,0,1,0,0,0,0,0,0
120,20,10,"we've given you all of the firewood, 2 of the waters",Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
121,20,11,If you could add just one food I think we have a deal,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
122,20,12,"you are going to have to toss something back our way, otherwise I will look weak to my family and they will not respect me",Other-Need,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,0,1,0,0,0,0,0,0
123,21,0,Hello! how are you doing? are you excited to go camping,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
124,21,1,"Yep! Been closed up too long with this Covid-19 stuff.😡Wish it would like the Prez sez ""go away""",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
125,21,2,"Yeah, it's very sad these days",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
126,21,3,Then I got here and noticed I didn't pack my cooking sterno and critters go into some of my food☹️Kinda puts a damper on the trip.,"Self-Need,Small-talk","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,0,0,1,0,1,0,0
127,21,4,"Oh, i see. How about you get 2 food 1 firewood and 1 water. I need the extra firewood to stay warm at night","Showing-Empathy,Self-Need","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0,0,0,0,0,1,1,0,0,0
128,21,5,"Yeah, that should work. I brought plenty of water and the critters left that alone. You planning to go out on the trails at all?","No-Need,Small-talk,Elicit-Pref","[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",1,1,0,0,0,0,0,1,0,0
129,21,6,"I do have a little hike planned, so the water comes in handy. I am more excited to relax and fish","Self-Need,Small-talk","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,0,0,1,0,1,0,0
130,21,7,"Well I want to go run the trail, but like to check it out first. Perhaps we could walk one together. perhaps in a couple moments we could fix the supply situation .","Small-talk,Self-Need","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0,0,0,0,0,1,0,1,0,0
131,21,8,"Yeah, that would be fun. ",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
132,21,9,"Well, why dont you propose how to divvy up the packages and we can get on with out camping?",Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
133,21,10,"for me. 2 firewood, 1 food and 2 waters",Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
134,22,0,"Hello, i will offer you as much food as you want for all of your fire wood.",Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
135,22,1,"Hello, how are you?",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
